,Product,Date Range,Market Price
230,151 Booster Pack,9/14 to 9/16,$5.83
231,151 Booster Pack,9/17 to 9/19,$5.73
232,151 Booster Pack,9/20 to 9/22,$5.65
233,151 Booster Pack,9/23 to 9/25,$5.91
234,151 Booster Pack,9/26 to 9/28,$6.64
235,151 Booster Pack,9/29 to 10/1,$6.28
236,151 Booster Pack,10/2 to 10/4,$6.07
237,151 Booster Pack,10/5 to 10/7,$5.80
238,151 Booster Pack,10/8 to 10/10,$6.03
239,151 Booster Pack,10/11 to 10/13,$5.95
240,151 Collection Alakazam ex Case,7/16 to 7/18,$0.00
241,151 Collection Alakazam ex Case,7/19 to 7/21,$0.00
242,151 Collection Alakazam ex Case,7/22 to 7/24,$0.00
243,151 Collection Alakazam ex Case,7/25 to 7/27,$0.00
244,151 Collection Alakazam ex Case,7/28 to 7/30,$0.00
245,151 Collection Alakazam ex Case,7/31 to 8/2,$0.00
246,151 Collection Alakazam ex Case,8/3 to 8/5,$0.00
247,151 Collection Alakazam ex Case,8/6 to 8/8,$0.00
248,151 Collection Alakazam ex Case,8/9 to 8/11,$0.00
249,151 Collection Alakazam ex Case,8/12 to 8/14,$0.00
250,151 Collection Alakazam ex Case,8/15 to 8/17,$0.00
251,151 Collection Alakazam ex Case,8/18 to 8/20,$0.00
252,151 Collection Alakazam ex Case,8/21 to 8/23,$0.00
253,151 Collection Alakazam ex Case,8/24 to 8/26,$0.00
254,151 Collection Alakazam ex Case,8/27 to 8/29,$0.00
255,151 Collection Alakazam ex Case,8/30 to 9/1,$0.00
256,151 Collection Alakazam ex Case,9/2 to 9/4,$0.00
257,151 Collection Alakazam ex Case,9/5 to 9/7,$0.00
258,151 Collection Alakazam ex Case,9/8 to 9/10,$0.00
259,151 Collection Alakazam ex Case,9/11 to 9/13,$0.00
260,151 Collection Alakazam ex Case,9/14 to 9/16,$0.00
261,151 Collection Alakazam ex Case,9/17 to 9/19,$0.00
262,151 Collection Alakazam ex Case,9/20 to 9/22,$0.00
263,151 Collection Alakazam ex Case,9/23 to 9/25,$0.00
264,151 Collection Alakazam ex Case,9/26 to 9/28,$0.00
265,151 Collection Alakazam ex Case,9/29 to 10/1,$0.00
266,151 Collection Alakazam ex Case,10/2 to 10/4,$0.00
267,151 Collection Alakazam ex Case,10/5 to 10/7,$145.00
268,151 Collection Alakazam ex Case,10/8 to 10/10,$143.25
269,151 Collection Alakazam ex Case,10/11 to 10/13,$137.30
270,151 Collection Zapdos ex Case,7/16 to 7/18,$0.00
271,151 Collection Zapdos ex Case,7/19 to 7/21,$0.00
272,151 Collection Zapdos ex Case,7/22 to 7/24,$0.00
273,151 Collection Zapdos ex Case,7/25 to 7/27,$0.00
274,151 Collection Zapdos ex Case,7/28 to 7/30,$0.00
275,151 Collection Zapdos ex Case,7/31 to 8/2,$0.00
276,151 Collection Zapdos ex Case,8/3 to 8/5,$0.00
277,151 Collection Zapdos ex Case,8/6 to 8/8,$0.00
278,151 Collection Zapdos ex Case,8/9 to 8/11,$0.00
279,151 Collection Zapdos ex Case,8/12 to 8/14,$0.00
280,151 Collection Zapdos ex Case,8/15 to 8/17,$0.00
281,151 Collection Zapdos ex Case,8/18 to 8/20,$0.00
282,151 Collection Zapdos ex Case,8/21 to 8/23,$0.00
283,151 Collection Zapdos ex Case,8/24 to 8/26,$0.00
284,151 Collection Zapdos ex Case,8/27 to 8/29,$0.00
285,151 Collection Zapdos ex Case,8/30 to 9/1,$0.00
286,151 Collection Zapdos ex Case,9/2 to 9/4,$0.00
287,151 Collection Zapdos ex Case,9/5 to 9/7,$0.00
288,151 Collection Zapdos ex Case,9/8 to 9/10,$0.00
289,151 Collection Zapdos ex Case,9/11 to 9/13,$0.00
290,151 Collection Zapdos ex Case,9/14 to 9/16,$0.00
291,151 Collection Zapdos ex Case,9/17 to 9/19,$0.00
292,151 Collection Zapdos ex Case,9/20 to 9/22,$0.00
293,151 Collection Zapdos ex Case,9/23 to 9/25,$0.00
294,151 Collection Zapdos ex Case,9/26 to 9/28,$0.00
295,151 Collection Zapdos ex Case,9/29 to 10/1,$0.00
296,151 Collection Zapdos ex Case,10/2 to 10/4,$0.00
297,151 Collection Zapdos ex Case,10/5 to 10/7,$0.00
298,151 Collection Zapdos ex Case,10/8 to 10/10,$122.00
299,151 Collection Zapdos ex Case,10/11 to 10/13,$125.13
300,151 Elite Trainer Box,7/16 to 7/18,$62.43
301,151 Elite Trainer Box,7/19 to 7/21,$61.22
302,151 Elite Trainer Box,7/22 to 7/24,$57.94
303,151 Elite Trainer Box,7/25 to 7/27,$55.90
304,151 Elite Trainer Box,7/28 to 7/30,$54.35
305,151 Elite Trainer Box,7/31 to 8/2,$53.79
306,151 Elite Trainer Box,8/3 to 8/5,$52.85
307,151 Elite Trainer Box,8/6 to 8/8,$52.62
308,151 Elite Trainer Box,8/9 to 8/11,$52.43
309,151 Elite Trainer Box,8/12 to 8/14,$52.20
310,151 Elite Trainer Box,8/15 to 8/17,$52.19
311,151 Elite Trainer Box,8/18 to 8/20,$52.09
312,151 Elite Trainer Box,8/21 to 8/23,$52.05
313,151 Elite Trainer Box,8/24 to 8/26,$51.94
314,151 Elite Trainer Box,8/27 to 8/29,$51.79
315,151 Elite Trainer Box,8/30 to 9/1,$51.75
316,151 Elite Trainer Box,9/2 to 9/4,$51.82
317,151 Elite Trainer Box,9/5 to 9/7,$52.05
318,151 Elite Trainer Box,9/8 to 9/10,$51.82
319,151 Elite Trainer Box,9/11 to 9/13,$51.58
320,151 Elite Trainer Box,9/14 to 9/16,$51.44
321,151 Elite Trainer Box,9/17 to 9/19,$51.53
322,151 Elite Trainer Box,9/20 to 9/22,$50.30
323,151 Elite Trainer Box,9/23 to 9/25,$53.67
324,151 Elite Trainer Box,9/26 to 9/28,$56.06
325,151 Elite Trainer Box,9/29 to 10/1,$55.62
326,151 Elite Trainer Box,10/2 to 10/4,$56.05
327,151 Elite Trainer Box,10/5 to 10/7,$55.24
328,151 Elite Trainer Box,10/8 to 10/10,$58.13
329,151 Elite Trainer Box,10/11 to 10/13,$57.31
330,151 Elite Trainer Box Case,7/16 to 7/18,$0.00
331,151 Elite Trainer Box Case,7/19 to 7/21,$0.00
332,151 Elite Trainer Box Case,7/22 to 7/24,$0.00
333,151 Elite Trainer Box Case,7/25 to 7/27,$0.00
334,151 Elite Trainer Box Case,7/28 to 7/30,$0.00
335,151 Elite Trainer Box Case,7/31 to 8/2,$0.00
336,151 Elite Trainer Box Case,8/3 to 8/5,$0.00
337,151 Elite Trainer Box Case,8/6 to 8/8,$524.98
338,151 Elite Trainer Box Case,8/9 to 8/11,$524.98
339,151 Elite Trainer Box Case,8/12 to 8/14,$524.95
340,151 Elite Trainer Box Case,8/15 to 8/17,$524.90
341,151 Elite Trainer Box Case,8/18 to 8/20,$524.87
342,151 Elite Trainer Box Case,8/21 to 8/23,$524.87
343,151 Elite Trainer Box Case,8/24 to 8/26,$524.86
344,151 Elite Trainer Box Case,8/27 to 8/29,$524.77
345,151 Elite Trainer Box Case,8/30 to 9/1,$524.59
346,151 Elite Trainer Box Case,9/2 to 9/4,$524.60
347,151 Elite Trainer Box Case,9/5 to 9/7,$524.61
348,151 Elite Trainer Box Case,9/8 to 9/10,$524.59
349,151 Elite Trainer Box Case,9/11 to 9/13,$524.19
350,151 Elite Trainer Box Case,9/14 to 9/16,$523.32
351,151 Elite Trainer Box Case,9/17 to 9/19,$522.48
352,151 Elite Trainer Box Case,9/20 to 9/22,$492.52
353,151 Elite Trainer Box Case,9/23 to 9/25,$480.86
354,151 Elite Trainer Box Case,9/26 to 9/28,$527.77
355,151 Elite Trainer Box Case,9/29 to 10/1,$552.78
356,151 Elite Trainer Box Case,10/2 to 10/4,$556.10
357,151 Elite Trainer Box Case,10/5 to 10/7,$558.57
358,151 Elite Trainer Box Case,10/8 to 10/10,$562.13
359,151 Elite Trainer Box Case,10/11 to 10/13,$565.19
360,151 Mini Tin Display,7/16 to 7/18,$118.96
361,151 Mini Tin Display,7/19 to 7/21,$118.95
362,151 Mini Tin Display,7/22 to 7/24,$118.87
363,151 Mini Tin Display,7/25 to 7/27,$118.66
364,151 Mini Tin Display,7/28 to 7/30,$118.42
365,151 Mini Tin Display,7/31 to 8/2,$118.19
366,151 Mini Tin Display,8/3 to 8/5,$117.49
367,151 Mini Tin Display,8/6 to 8/8,$117.07
368,151 Mini Tin Display,8/9 to 8/11,$116.71
369,151 Mini Tin Display,8/12 to 8/14,$116.42
370,151 Mini Tin Display,8/15 to 8/17,$115.50
371,151 Mini Tin Display,8/18 to 8/20,$115.27
372,151 Mini Tin Display,8/21 to 8/23,$115.10
373,151 Mini Tin Display,8/24 to 8/26,$115.03
374,151 Mini Tin Display,8/27 to 8/29,$114.14
375,151 Mini Tin Display,8/30 to 9/1,$112.90
376,151 Mini Tin Display,9/2 to 9/4,$110.35
377,151 Mini Tin Display,9/5 to 9/7,$113.65
378,151 Mini Tin Display,9/8 to 9/10,$116.17
